7-Zip,Příslušenství,Archivační nástroj,7-Zip je komprimační program konkurující k známým programům jako WinZip a WinRAR. Podporuje mnoho známých i méně známých formátů archivů.,LGPLv2,http://www.7-zip.org/,http://downloads.sourceforge.net/sevenzip/7z920.exe,http://www.7-zip.org/7ziplogo.png
Apache OpenOffice,Kancelář,Kancelářský balík,Apache OpenOffice je svobodný kancelářský balík pro Windows; Macintosh a Linux; který nabízí šest plnohodnotných aplikací pro práci s vašimi dokumenty a daty: Writer; Calc; Impress; Draw; Base a Math. Umí načítat a ukládat kromě svého nativního a standardního formátu ODF také formáty z Microsoft Office.,ASL 2.0,http://www.openoffice.org/,http://sourceforge.net/projects/openofficeorg.mirror/files/localized/cs/3.4.1/Apache_OpenOffice_incubating_3.4.1_Win_x86_install_cs.exe/download,http://www.openoffice.org/images/AOO_logos/svg/OOo_Website_v2_copy.svg
Audacity,Multimédia,Editor zvuku,Audacity je velmi oblíbený program pro editaci a nahrávání zvuku. Jedná se o multiplatformí aplikaci; která je oblíbená nejen na Linuxu; ale i na Windows.,GPLv2+,http://audacity.sourceforge.net/,http://audacity.googlecode.com/files/audacity-win-2.0.2.exe,http://upload.wikimedia.org/wikipedia/commons/e/e2/Audacity_Logo_nofilter.svg
Blender,Grafika,3D modelovací nástroj,Bledner je nástroj pro 3D modelování a animaci. Dají se s ním dělat jednoduché věci; ale i komplexní hry nebo filmy. Byly v něm vytvořeny například svobodné filmy Sintel nebo napůj hraný Tears of Steel. Náročnější uživatelé jistě ocení možnost skriptování v Pythonu.,GPLv2+,http://www.blender.org/,http://ftp.nluug.nl/pub/graphics/blender/release//Blender2.65/blender-2.65a-windows32.exe,http://upload.wikimedia.org/wikipedia/en/a/a5/Blender.svg
CamStudio,Multimédia,Nahrává plochu,CamStudio je užitečný nástroj; který vám umožní zaznamenávat dění na vašem počítači ve formě videa. Pokud tedy chcete někomu ukázat; jak se co dělá; nebo jak něco děláte právě vy; není nic jednoduššího; než svou aktivitu natočit.,GPLv?,http://camstudio.org/,https://sourceforge.net/projects/camstudio/files/stable/CamStudio_Setup_v2.6b_r294_(build_24Oct2010).exe/download,http://camstudio.org/images/logo-new.gif
ClamWin,Bezpečnost,Antivirus,Bez antivirového programu se na Windows asi neobejdete. Existuje jich celá řada; ClamWin je jedním z nich. Jeho předností; kromě toho; že je zadarmo; je například fakt; že nemusíte provádět žádné aktivace; ani registrace. Mějte však na paměti; že ClamWin neobsahuje rezidentní ochranu; virový test je třeba spouštět ručně.,GPLv2,http://www.clamwin.com/,http://downloads.sourceforge.net/clamwin/clamwin-0.97.6-setup.exe,http://upload.wikimedia.org/wikipedia/commons/9/94/ClamWin_Logo.png
Dia,Kancelář,Diagramy,Program Dia vám pomůže kreslit strukturované diagramy a schémata. Můžete je importovat z různých formátů; jako třeba SVG; DXF nebo VDX; a exportovat je navíc ještě třeba jako obrázek; PDF nebo LaTeX.,GPLv2,http://dia-installer.de/,http://sourceforge.net/projects/dia-installer/files/dia-win32-installer/0.97.2/dia-setup-0.97.2-2-unsigned.exe/download,http://static.dia-installer.de/images/dia.png
DVDStyler,Multimédia,Tvořič DVD,DVDStyler umožňuje vytvořit DVD včetně menu. Máte natočené video z nějaké významné živtoní události a chcete mu dát zajímavou formu? Pak je tato aplikace pro vás. Nebo jste si z televize natočili film a chcete aby měl na DVD hezkou nabídku? Pomocí DVDStyleru vytvoříte poloprofesionální DVD.,GPLv2+,http://www.dvdstyler.org/,http://sourceforge.net/projects/dvdstyler/files/dvdstyler/2.3.5/DVDStyler-2.3.5-win32.exe,http://www.cccp.pro/wp-content/uploads/2011/12/1298192006dvdstyler-logo.png
FileZilla,Internet,FTP klient,Pořídili jste si webhosting a sháníte aplikaci; která vám pomůže nahrát na něj obsah? Pak jste tu správně. FileZilla je FTP klient; ale kromě FTP zvládá další protokoly; například oblíbené SFTP.,GPLv2+,http://filezilla-project.org/,http://sourceforge.net/projects/filezilla/files/FileZilla_Client/3.6.0.2/FileZilla_3.6.0.2_win32-setup.exe/download,http://nairamania.com/uploads/galleries/380px-filezilla_logo.png
